Katsesõna;Mudel;Definitsioon;Hinnang;Kommentaar
suitsetama;Llama-4-Maverick-17B-128E-Instruct;tubakat või muud suitsetamiseks mõeldud ainet põletades sisse hingama;3;"""põletades sisse hingama"" jääb mu jaoks ähmaseks, tahaks osutust paberanumale vms, mis seda tubakat hoiab :D"
suitsetama;Claude 3.7 Sonnet;tubakat, kanepit vm taimset ainet põletades tekkivat suitsu sisse hingama, tavaliselt naudingu saamiseks või harjumusest;3;täpsustus, mille jaoks, on ebavajalik, sest vabalt võib olla ka megalt stressis olemisest, aga seda pole mainitud. st siis võiks juba rohkem asju loetleda, aga pigemini mitte mainima hakatagi, seda aspekti võiks näitelausetes välja tuua
suitsetama;Claude 3 Opus;tubakasaadusi (nt sigarette, sigareid) põletades suitsu sisse hingama ja välja puhuma;4;ohoo, siin on väljapuhumise aspekt lisaks, teised ütlevad ainult, et sisse hingatakse
suitsetama;GPT-4.1;tubakat või muud taolist ainet suitsetamise teel sisse hingama;2;suitsetama suitsetamise teel ei ole hea seletus
sugupuu;Llama-4-Maverick-17B-128E-Instruct;perekonna liikmete põlvnemist ja nendevahelisi sugulussuhteid näitlikult kujutav skeem või tabel;4;
sugupuu;Gemini 1.5 Pro;Perekonna või suguvõsa liikmete sugulussidemeid ja põlvnemisjärjestust kujutav skemaatiline esitus, tavaliselt puu kujul.;3;ei meeldi suur algustäht ja punkt lõpus, seega ei saa 4 panna
sugupuu;o3;põlvkondade kaupa järjestatud ülevaade inimese või perekonna esivanematest ja järeltulijatest, sageli graafilise skeemi või loeteluna kujutatud põlvnevusjärjestus;3;"puud pole mainitud, ""graafiline skeem"" jääb ebamääraseks"
kategooriline;EuroLLM-9b-instruct;Kategooriline on isik, kes on väga kindel oma arvamuses või arvamustes ning ei luba alternatiive ega muudatusi. Ta nõuab, et teised järgiksid tema seisukohti, ilma eriarvamuste või küsimisteta. See võib olla nii positiivne kui ka negatiivne omadus, sõltuvalt olukorrast ja kontekstist.;2;pmst oleks võimalik siit sobiv sisu välja noppida, seega 1 ei pannud, kuigi see on seletuse kohta liiiiiiga pikk täislausete kogum, mis jääb jaurama, selmet konkreetselt ära öelda
kategooriline;Claude 3.7 Sonnet;kindel, tingimusteta, eranditeta, vaieldamatult kehtiv või esitatud, kompromisse välistav;4;
kategooriline;Gemini 1.5 Pro;täiesti kindel, tingimusteta, kahtlust mitte võimaldav;4;
kategooriline;o4-mini;selgesõnaliselt ja otsustavalt väljendatud, mis ei jäta ruumi kahtlusele, vahevariantidele ega eranditele;4;
personal;Llama-4-Maverick-17B-128E-Instruct;asutuse, ettevõtte vms koosseis, töötajad, töölised;4;
personal;Gemini 1.5 Pro;asutuse, ettevõtte või organisatsiooni kõik töötajad kokku;3;"""kõik"" on liiga kategooriline ;) ja loetelu on liiga ammendav"
personal;GPT-4o;töötajaskond, mingi asutuse, ettevõtte vms teenistuses olevad inimesed, kes täidavad teatud ülesandeid ja kohustusi;4;"kahtlesin, kas mitte 3 panna, sest ma lisaks ""töötajaskond"" järele ÜSi tavast lähtuvalt semikooloni, mitte kooloni, ent sisuliselt norm seletus"
personal;GPT-4.1;ühes asutuses, ettevõttes vm töötavad inimesed tervikuna;3;"""tervikuna"" häirib, saaks vb ilma selleta"
perspektiivitu;Gemini 1.5 Pro;"edasimineku-, arengu- või lootusetust tähistav; ilma tulevikuväljavaateteta";2;sisuliselt saan aru, mida öeldakse, ehkki sõnastus on kohmakas ja siin on ka ortograafiavigu: milleks sidekriipsud? ning -tete- -> -dete-
perspektiivitu;Gemini 2.5 Pro Preview;Arengu- või tulevikuväljavaadeteta;2;ausalt öeldes ei oska hinnangut anda. esimese hooga tundus liiga lühike, aga samas mida väga siia juurde lisada? algustähe muudaks aga väikseks
perspektiivitu;GPT-4.1;"ilma arengu-, edu- või tulevikuvõimaluseta; lootusetu";4;
perspektiivitu;o4-mini;millegi arenguvõimalust ega lootust mitte pakkuv;3;midagi kergelt segab, veits kohmakas sõnastus vist
perspektiivitu;o3;"ÜSi definitsioon - ilma tuleviku- ja arenguväljavaadeteta, edulootuseta; lootusetu, väljavaateta";3;"sisu on ok, aga ""ÜSi definitsioon -"" tuleb ära kustutada"
pesto;GPT-4o;Itaalia päritolu paks kaste, mis valmistatakse tavaliselt basiilikust, küüslaugust, oliiviõlist, seedermänniseemnetest ja juustust, ning mida kasutatakse toitude maitsestamiseks või lisandina pastaroogadele;3;see mumst pole oluline, et see Itaalia päritolu (algselt!) on, sama asja saab Eestis ka kokku mökerdada
pesto;GPT-4.1;paks, tavaliselt basiilikust, küüslaugust, oliiviõlist, seedermänniseemnetest ja juustust valmistatud külm kaste või määre;4;
pesto;o4-mini;Itaalia päritolu roheline kaste, mis koosneb peenestatud basiilikulehtedest, küüslaugust, piniaseemnetest, Parmesani juustust ja oliiviõlist;2;"muuta tuleks ""pinia"" ja ""Parmesani juust"", lisada et paks kaste, nagu teistes (ilma võrdluseta poleks ise selle peale tuld, et see paks peab olema, ent kuna kaste saab olla ka vedel, siis see on siiski oluline kastme puhul)"
pesto;o3;Itaaliast pärit paks toorelt kokku hõõrutud basiiliku, küüslaugu, pähklite, oliiviõli ja kõva juustu baasil valmistatud maitse- ehk ürdikaste;2;"ei meeldi: ""toorelt kokku hõõrutud"" (miks hõõrutud? ebaloomulik sõnastus), ""baasil"" (vb tarbetu võõrsõnaviha), ""maitse- ehk ürdi"" (pole sama asi)"
summaarne;Gemini 1.5 Pro;"kokkuvõtlik, üldine, terviklik;  mitmest osast või komponendist koosnev tervik käsitletud ühe ühikuna.";3;topelttühik ja punkt lõpus
summaarne;Gmeini 2.0 Flash;kokkuvõtlik, üldistav, peamisi punkte esile toov;4;
summaarne;GPT-4.1;kokkuvõtlik, kõiki osi või andmeid hõlmav ja üldistav;4;
summaarne;o3;üksikasju eritlemata tervikuna, kogusummana arvestatav või esitatav;3;segasem kui teised
transport;EuroLLM-9b-instruct;Transport viitab inimeste või kaupade vedamisele ühest kohast teise. See hõlmab mitmesuguseid transpordiliike, nagu autotransport, rongitransport, õhutransport, veetransport ja muud. Transporti kasutatakse tavaliselt selleks, et inimesed saaksid liikuda ühest punktist teise või et kaubad jõuaksid sihtkohta.;2;pmst oleks võimalik siit sobiv sisu välja noppida, seega 1 ei pannud, kuigi see on seletuse kohta liiiiiiga pikk täislausete kogum, mis jääb jaurama, selmet konkreetselt ära öelda
transport;Gemini 2.5 Pro Preview;kaupade või reisijate edasitoimetamine ühest kohast teise;3;"""edasi"" on üleliigne, loetelu asjadest, mida transporditakse, ka vb liiga napp"
transport;o4-mini;inimeste, kaupade või esemete ühest paigast teise liigutamine või selleks kasutatav vahend;4;
transs;Claude 3 Opus;hüpnoosiga sarnanev seisund, milles inimene on oma ümbruse suhtes tundetum ja allub kergemini sisendusele;3;midagi häirib
transs;Gemini 1.5 Pro;teadvusseisund, kus inimene on osaliselt või täielikult eraldunud tavapärasest reaalsustajust, näiteks sügava keskendumise, meditatsiooni, hüpnoosi või teatud rituaalide tagajärjel.;3;punkti kustutaks ära
transs;Gemini 2.5 Pro Preview;eriline teadvusseisund, milles reaktsioon välisärritustele on nõrgenenud või puudub;3;veis napp
transs;GPT-4o;teadvuse seisund, kus inimene on sügavalt keskendunud, sageli välismaailmast eraldunud ja tavapärasest erinevas vaimses seisundis;3;
transs;o4-mini;muudetud teadvuseseisund, mille korral inimene kaotab osaliselt või täielikult kontakti välismaailmaga ja keskendub sisemisele kogemusele;3;kas ta meelega ikka keskendub
transs;o3;muutunud, sügavalt keskendunud teadvusseisund, kus välisärritajad tajutakse ähmaselt ja tähelepanu koondub sisemistele kogemustele või hüpnootilisele mõjutusele;3;okei, võib öelda, et kuna ma ei tea transsi omadusi, siis oli raske öelda, kas seletus on ammendav. üldkeelesõnaraamatu jaoks ilmselt tegelt kõik okeid
akne;o4-mini;naha haigus, mida iseloomustab rasunäärmete ummistumine ja põletik, põhjustades vistrike, komedoonide ja mädasõlmede teket;3;nahahaigus kirjutaks kokku
akne;o3;rasunäärmete põletikust tingitud mädapunne tekitav krooniline nahalööve, mis esineb peamiselt näol, seljal ja rinnal;4;
aktiivsüsi;Claude 3.5 Sonnet;suure poorsusega süsinikurikas aine, mida kasutatakse mürgiste või kahjulike ainete filtreerimiseks ja sidumiseks;4;
aktiivsüsi;Claude 3.7 Sonnet;poorne süsinikurikas materjal, mida kasutatakse mürgiste ainete või ebameeldivate lõhnade imamiseks, filtreerimiseks või puhastamiseks;4;
aktiivsüsi;Gemini 1.5 Pro;poorne süsiniku vorm, millel on suur pindala ja mis seetõttu suudab tõhusalt adsorbeerida gaase, vedelikke ja lahustunud aineid.;2;kahtlane sõnastus ja punkt lõpus
aktiivsüsi;GPT-4.1;poorne ja väga suure pindalaga süsi, mida kasutatakse peamiselt ainete, eriti gaaside ja vedelike puhastamiseks ning filtreerimiseks;3;"sõnastus ""väga suure pindalaga"" segab mind. pole aimugi, kas erialainimesed nii räägivad, aga üldkeele jaoks kohmakas"
aktsent;Llama-4-Maverick-17B-128E-Instruct;"sõna või lause heli eriliselt rõhutatud või tugevalt esiletõstetav hääldamine; rõhk; teatud murdele või võõrkeele häälduskujule iseloomulik hääldusviis või selle avaldumine kõnes";4;
aktsent;Claude 3.5 Sonnet;"võõrapärane hääldusviis või kõnemaneer, mis tuleneb emakeele või muu keele mõjust; rõhk või pearõhk kõnes, muusikas või kunstis";3;võõrapärane ja emakeel ei lähe mu jaoks kokku, ehkki uuesti lugedes saan aru, mida mõeldud. veits muudaks sõnastust
aktsent;Claude 3.7 Sonnet;"kõnes avalduvad häälduslikud iseärasused, mis on tingitud kõneleja emakeelest või murdest; rõhk, rõhuasetus";3;murre on ka kõneleja emakeel :P
aktsent;Gemini 1.5 Pro;"häälduse eripära, rõhk silbil, sõnal või sõnaosal, mis eristab seda teistest; rõhuasetus, esiletõstmine";3;teistest sõnadest või :) peaks täpsustama, et teistest kõnelejatest
aktsent;GPT-4o;kõneviisile iseloomulik hääldus, mis viitab kõneleja keelelisele või piirkondlikule taustale, rõhuasetus sõnades või lausetes, mis võib eristada kõnelejat teistest keelekasutajatest.;3;muidu väga hea, aga punkt lõpus tuleks kustutada
aktsent;o3;iseloomulik hääldus- ja rõhuviis, mis viitab kõneleja keele- või murdelisele päritolule, ühtlasi silbi või sõna esiletõstmiseks kasutatav hääle- või kirjamärk;3;"""ühtlasi"" asemel semikoolin ÜSis"
debatt;Gemini 2.5 Pro Preview;avalik v korraldatud vaidlus, arutelu;2;"""v"", ühtlasi ei pea olema või-suhe. muidu oleks 3 pannud, ent kuna ÜSi jaoks on vaja detailsemat kirjeldust, siis 2 - tuleks juurde kirjutada"
debatt;o3;kahe või enama osapoole avalik ja argumenteeritud arutelu mõne küsimuse või teema üle, kus vastandlikke seisukohti esitatakse ja võrreldakse kindlate reeglite või kokkulepitud korra alusel;4;
deegu;Gemini 1.5 Pro;Tšiili päritolu väike näriline, keda peetakse ka lemmikloomana.;3;punkt lõpus
deegu;GPT-4o;väike näriline, kes kuulub okassaba-deegude sugukonda, tuntud oma sotsiaalse käitumise ja aktiivsuse poolest, sageli peetav lemmikloomana.;2;deegu kuulub deegude sugukonda - ei selgita midagi. punkt lõpus. lemmikloomana pidamine vist ebavajalik?
deegu;o3;väike Lõuna-Ameerikast pärit seltsilembene päevaliine näriline, keda peetakse sageli lemmikloomana;4;samas siin ei häiri lemmikloomana pidamine, paremini seletuse sisse kirjutatud ilmselt
defekt;Gmeini 2.0 Flash;mingi puudus, viga või rike, mis teeb midagi ebatäiuslikuks või töökorrast välja viib;3;eba sõnajärg, muidu ok
defekt;o4-mini;eseme, seadme või muu objekti terviklikkuses või toimimises esinev viga või rike;3;
filosofeerima;EuroLLM-9b-instruct;Filosofeerima on tegevus, mille käigus inimesed arutavad erinevaid filosoofilisi teemasid, nagu näiteks elu mõte, inimloomuse olemus, teadmiste päritolu ja tähendus. See võib hõlmata mitmesuguseid küsimusi ja probleeme, mis puudutavad maailma ja inimese kohta selles maailmas. Filosofeerimine võib toimuda kas suuliselt või kirjalikult, näiteks kirjade vahetuses, foorumites või muudes suhtluskeskkondades. Filosofeerimist peetakse sageli meeldivaks ja huvitavaks tegevuseks, mis aitab inimestel paremini mõista ennast ja maailma enda ümber. See võib samuti aidata arendada kriitilist mõtlemist, analüüsivõimet ja loovust.;2;liiga pikk, aga mitte mööda seletatud
filosofeerima;Llama-4-Maverick-17B-128E-Instruct;sügavama mõtte või tähenduse otsimiseks või leidmiseks mõtlema, arutlema või vestlema, sageli abstraktselt või põhimõtteliselt.;3;punkt lõpus
filosofeerima;Claude 3 Opus;mõtisklema, arutlema või targutama elulistel, sageli sügavamõttelistel teemadel, püüdes jõuda asjade ja nähtuste olemuseni;3;"""targutama"" segab vist"
filosofeerima;Gemini 1.5 Pro;eluliste küsimuste, näiteks maailma olemuse, teadmiste, väärtuste, mõtlemise jms üle sügavuti ja üldistavalt mõtisklema, arutlema;4;
filosofeerima;Gmeini 2.0 Flash;mõtlema ja arutlema sügavate, üldiste küsimuste üle, eriti elu, teadmiste, moraali ja olemise kohta;3;"häirib ""sügavate, üldiste"" - paneks koma asemel ""või"" vms, maitea"
filosofeerima;GPT-4.1;filosoofilisi mõtteid arendama või arutlema, abstraktseid ja üldisi küsimusi mõtisklevalt käsitlema;3;"""filosoofilisi"" ei seleta samatüvelist sõna"
filosofeerima;o4-mini;mõtlikult või teoreetiliselt arutlema elu, maailma, teadmiste ja väärtuste olemuslike küsimuste üle;3;muidu ok, aga vb liiga vähe detaile
huligaan;Llama-4-Maverick-17B-128E-Instruct;inimene, kes käitub korrarikkujana, teeb õigusvastaseid tegusid või põhjustab avalikus kohas segadust ja korratust, sageli vägivaldselt või ülekohtuselt.;3;punkt lõpus
huligaan;Claude 3.7 Sonnet;avalikus kohas teisi häiriv, ühiskondlikke norme eirav ja korda rikkuv isik, kes käitub jõhkralt, agressiivselt või lugupidamatult;4;
huligaan;Gemini 1.5 Pro;vägivaldne ja korrarikkumisele kalduv isik, kes tekitab avalikus kohas pahandusi ja häirib avalikku korda.;3;muidu 4, aga punkt lõpus
huligaan;GPT-4.1;inimene, kes käitub tahtlikult pahatahtlikult, häirivalt või vägivaldselt, rikub avalikku korda ja tekitab teistele kahju või ebamugavust;4;
kasutajaskond;EuroLLM-9b-instruct;"Rühm inimesi, kes kasutavad või on huvitatud mingist konkreetsest teenusest, tootest või platvormist. Näitena ""Google'i kasutajaskond"" viitab inimestele, kes kasutavad Google'i tooteid ja teenuseid.";3;
kasutajaskond;GPT-4.1;inimeste rühm, kes kasutab mingit teenust, toodet või süsteemi;4;
peoloom;Llama-4-Maverick-17B-128E-Instruct;seltskondlikult aktiivne, pidudel teiste lõbustamiseks nalja ja lõbu pärast erinevaid tegevusi tegev inimene;3;
peoloom;Claude 3.5 Sonnet;pidutsemist ja seltskondlikku meelelahutust armastav, pidudel sageli käiv ja seal aktiivne inimene;4;
peoloom;Claude 3 Opus;pidutsemist, lõbutsemist ja alkoholi tarbimist liialduseni viiv isik;3;
peoloom;o3;pidusid, lõbutsemist ja seltskonda armastav inimene, kes käib sageli ning meelsasti pidudel;3;
pesakond;EuroLLM-9b-instruct;"Rühm loomi, kes on sündinud samast emasloomast või kuuluvad sama rühma. Näiteks ""koerasportlase pesakond"" viitab kutsikatele, kelle sünnitas koer ja kes on mõeldud kasvatamiseks ning kasutamiseks teatud spordialadel.";3;
pesakond;Claude 3.5 Sonnet;"ühest pesakonnast sündinud või koorunud järglased; samasse pessa kuuluvad linnupojad, loomapojad vm järglased";4;
pesakond;Gemini 1.5 Pro;ÜSi definitsioon - üheaegselt, tavaliselt ühest loomast sündinud poegade rühm;4;
pesakond;Gemini 2.5 Pro Preview;loomade (hrl imetajate, lindude) samal poegimis- või haudumiskorral ilmale tulnud järglased;4;
suitsetama;EuroLLM-9b-instruct;Tegevus, mille käigus hingatakse sisse ja välja suitsu, mis tekib tubaka või mõne muu aine põletamisel. Suitsetamine on väga kahjulik tervisele ning võib põhjustada tõsiseid terviseprobleeme, sealhulgas kopsuvähki, südame-veresoonkonna haigusi ja hingamisteede haigusi.;1;
suitsetama;Gemini 1.5 Pro;Tubakat või muud ainet põletades sellest eralduvat suitsu sisse hingama ja välja puhuma.;4;
suitsetama;Gmeini 2.0 Flash;põletatavaid (tubaka)tooteid (sigaretti, piipu jne) sisse hingama, et omandada nikotiinist või muudest ainetest tekitatud mõnu;3;
suitsetama;GPT-4o;tubakat või muid suitsetatavaid aineid sigareti, sigari, piibu vm kaudu sisse hingama ja välja puhuma;4;
suitsetama;o4-mini;tubaka või muu suitsutava aine põletamisest eralduva suitsu sisse- ja väljahingamine;1;
sugupuu;GPT-4.1;ühe isiku või suguvõsa esivanemaid ja järeltulijaid põlvkondade kaupa näitav skeem või loetelu;4;
kategooriline;EuroLLM-9b-instruct;Kategooriline on isik, kes on väga kindel oma arvamuses või arvamustes ning ei luba alternatiive ega muudatusi. Ta nõuab, et teised järgiksid tema seisukohti, ilma eriarvamuste või küsimisteta. See võib olla nii positiivne kui ka negatiivne omadus, sõltuvalt olukorrast ja kontekstist.;2;
kategooriline;Llama-4-Maverick-17B-128E-Instruct;vaieldamatut, absoluutset või üldkehtivat väidet, seisukohta või otsust väljendav või kujutav;4;
kategooriline;Claude 3.7 Sonnet;kindel, tingimusteta, eranditeta, vaieldamatult kehtiv või esitatud, kompromisse välistav;4;
kategooriline;Claude 3 Opus;tingimusteta, vastuväiteid või erandeid välistav, täiesti kindel ja otsustav;4;
kategooriline;Gemini 1.5 Pro;täiesti kindel, tingimusteta, kahtlust mitte võimaldav;3;
kategooriline;Gmeini 2.0 Flash;"tingimusteta, mööndusteta, kindel, otsustav; jäik";2;ainult sünod
kategooriline;GPT-4o;"kindel, tingimusteta, järeleandmatu; midagi kindlalt väitma või nõudma, ilma kahtluste või eranditeta";4;
kategooriline;o4-mini;selgesõnaliselt ja otsustavalt väljendatud, mis ei jäta ruumi kahtlusele, vahevariantidele ega eranditele;2;
personal;EuroLLM-9b-instruct;Personal viitab töötajatele ettevõttes, asutuses või organisatsioonis. See hõlmab kõiki töötajaid, alates juhtidest kuni tavatöötajateni, kes on osa organisatsiooni struktuurist ja aitavad kaasa selle toimimisele.;4;
personal;Claude 3.5 Sonnet;"asutuse või ettevõtte koosseisulised töötajad, kes täidavad seal ametikohustusi; töötajaskond";4;
personal;Gemini 2.5 Pro Preview;asutuse, ettevõtte vms töötajaskond v. teenistujad;4;
personal;o3;mingis asutuses, ettevõttes või organisatsioonis töötavate inimeste kogum, töötajaskond;4;
perspektiivitu;Gemini 2.5 Pro Preview;Arengu- või tulevikuväljavaadeteta;4;
perspektiivitu;o4-mini;millegi arenguvõimalust ega lootust mitte pakkuv;3;
pesto;EuroLLM-9b-instruct;Pesto on Itaalia päritolu maitseaine, mis põhineb basiilikulehedel, küüslaugul, oliiviõli, pinoleemutteritel (kõrvitsaseemned) ja sool. Seda kasutatakse tavaliselt pasta, risotto või teiste roogade maitsestamiseks. Pesto on populaarne kogu maailmas ja seda saab kasutada erinevat tüüpi toitude maitsestamiseks.;2;
pesto;Llama-4-Maverick-17B-128E-Instruct;basiilikust, küüslaugust, männipähklitest, Parmesani juustust ja oliiviõlist valmistatud püree või pasta Itaalia päritolu kaste toitude maitsestamiseks;4;
pesto;GPT-4o;Itaalia päritolu paks kaste, mis valmistatakse tavaliselt basiilikust, küüslaugust, oliiviõlist, seedermänniseemnetest ja juustust, ning mida kasutatakse toitude maitsestamiseks või lisandina pastaroogadele;3;
pesto;o4-mini;Itaalia päritolu roheline kaste, mis koosneb peenestatud basiilikulehtedest, küüslaugust, piniaseemnetest, Parmesani juustust ja oliiviõlist;4;
summaarne;Llama-4-Maverick-17B-128E-Instruct;kõiki osi, hulka või kogust kokku haarav, kokkuvõtlik, üldine;4;
summaarne;Claude 3.5 Sonnet;kõiki osi või üksikasju kokku võttev, kogu hulka hõlmav, kokkuvõtlik;3;
summaarne;GPT-4o;kogusummana esinev, kokkuvõtlikult arvestatud või väljendatud, kõigi osade või elementide kogumina käsitletav;4;
summaarne;o4-mini;"mitme osa või näitaja summana moodustuv või nii esitatud; kokkuvõtlikult kogu hulka või üldpilti näitav";4;
summaarne;o3;üksikasju eritlemata tervikuna, kogusummana arvestatav või esitatav;4;
transport;Claude 3 Opus;inimeste, kaupade või loomade ühest kohast teise toimetamine selleks ettenähtud sõidukite abil;4;
transport;Gmeini 2.0 Flash;inimeste või kaupade toimetamine ühest kohast teise, veondus;4;
transport;GPT-4o;inimeste, kaupade või informatsiooni liikumine ühest kohast teise, sageli sõidukite või muude vahendite abil, et hõlbustada liikumist ja ühendust erinevate paikade vahel;3;
transport;GPT-4.1;inimeste, kaupade või esemete ühest kohast teise viimine või vedamine;4;
transport;o3;inimeste, kaupade või muude esemete vedamine ühest kohast teise, samuti sellega seotud korraldus ja teenindus;3;
transs;EuroLLM-9b-instruct;Transs on seisund, kus inimene on piiratud teadvusega või täielikult teadvuse kaotanud. See võib olla põhjustatud mitmetest teguritest, nagu näiteks unetus, vaimne häire või muud põhjused. Kui inimesel on transis, ei pruugi ta reageerida välistele stiimulitele ja tema tegevus on piiratud. Transs on erinev seisund võrreldes tavalise une või teadvusekaotusega.;2;
transs;Claude 3.5 Sonnet;teadvuse muutunud seisund, milles inimene on välismaailmast osaliselt või täielikult eraldunud ning keskendunud oma sisemaailmale;4;
transs;Gemini 1.5 Pro;teadvusseisund, kus inimene on osaliselt või täielikult eraldunud tavapärasest reaalsustajust, näiteks sügava keskendumise, meditatsiooni, hüpnoosi või teatud rituaalide tagajärjel.;4;
transs;GPT-4.1;Määramata definitsioon;1;
akne;Claude 3.5 Sonnet;noorukieas nahale, eriti näole tekkiv põletikuline haigusseisund, mis avaldub punaste muhukeste ja vistrike näol;3;
akne;Claude 3 Opus;naha rasunäärmete krooniline põletikuline haigus, mille korral tekivad näole, kaelale, seljale ja rinnale vistrikud, sõlmekesed või paised;4;
akne;Gemini 2.5 Pro Preview;vistrikke tekitav rasunäärmete põletikuline nahahaigus;4;
akne;GPT-4.1;nahahaigus, mille korral rasunäärmed ja karvafolliikulid ummistuvad ning tekivad vistrikud, komedoonid ja põletikulised sõlmed;4;
aktiivsüsi;Llama-4-Maverick-17B-128E-Instruct;suure eripinnaga käsitletud süsi, mida kasutatakse absorbendina gaaside või vedelike puhastamisel või värvainete eraldamisel lahustitest;3;
aktiivsüsi;Gemini 1.5 Pro;poorne süsiniku vorm, millel on suur pindala ja mis seetõttu suudab tõhusalt adsorbeerida gaase, vedelikke ja lahustunud aineid.;3;
aktiivsüsi;GPT-4o;poorne süsinikmaterjal, millel on suur pindala ja mida kasutatakse adsorbendina gaaside, vedelike või lahustunud ainete eemaldamiseks või puhastamiseks;3;
aktiivsüsi;o4-mini;"kõrgel temperatuuril töötlemise teel saadav mikropoorne süsinikmaterjal, mille suured pindalad võimaldavad gaasidest ja vedelikest saasteaineid neelata; kasutatakse filtrimaterjalina ja puhastusainena";2;
aktsent;GPT-4.1;Määramata definitsioon;1;
aktsent;o4-mini;sõna või fraasi silp, mille hääldamisel on teistega võrreldes tugevam rõhk, või kõneleja murde- või võõrkeelset päritolu paljastav hääldusomadus;3;
aktsent;o3;iseloomulik hääldus- ja rõhuviis, mis viitab kõneleja keele- või murdelisele päritolule, ühtlasi silbi või sõna esiletõstmiseks kasutatav hääle- või kirjamärk;3;
debatt;Gemini 1.5 Pro;avalik arutelu mingil kindlal teemal, kus osalejad esitavad oma seisukohti ja argumente, sageli eesmärgiga jõuda ühisele lahendusele või veenda publikut.;3;
debatt;GPT-4.1;avalik arutelu mingi küsimuse või probleemi üle, kus eri seisukohtade esindajad esitavad oma argumente ja vastuväiteid;4;
debatt;o3;kahe või enama osapoole avalik ja argumenteeritud arutelu mõne küsimuse või teema üle, kus vastandlikke seisukohti esitatakse ja võrreldakse kindlate reeglite või kokkulepitud korra alusel;2;
deegu;EuroLLM-9b-instruct;Deeg on väikeste mõõtmetega loom, kes kuulub näriliste hulka. See on levinud kogu maailmas ja seda peetakse lemmikloomana või lemmiklinnuna. Deed saavad hästi kohaneda erinevate keskkondadega ja neid hoitakse tavaliselt puuris või akvaariumis. Deed võivad olla erinevat värvi ja kuju, kuid neil on üldiselt sarnased tunnused, nagu näiteks pikk saba ja suured kõrvad. Neid peetakse sõbralikeks loomadeks, kes suudavad hästi kohaneda inimestega ja õppida trikke tegema. Deege saab toita mitmesuguste toiduainetega, sealhulgas teravilja, puu- ja köögiviljadega.;1;
deegu;Llama-4-Maverick-17B-128E-Instruct;Lõuna-Ameerikast pärit näriline, kes sarnaneb välimuselt hiire või oravaga, ning on populaarne lemmikloom oma sotsiaalse ja uudishimuliku loomuse tõttu;3;
deegu;Claude 3 Opus;väike Lõuna-Ameerika näriline, keda peetakse lemmikloomana;4;
deegu;Gemini 1.5 Pro;Tšiili päritolu väike näriline, keda peetakse ka lemmikloomana.;4;
defekt;EuroLLM-9b-instruct;Defekt on viga või puudus, mis võib esineda materjalis, toote disainis või funktsioonis. See võib olla põhjustatud erinevatest teguritest, nagu näiteks tootmisprotsessi kõrvalekalded, kasutusvead või muud põhjused. Defekti saab tuvastada visuaalselt või spetsiaalsete testide abil. Sõltuvalt defekti raskusastmest ja tüübist võib seda parandada või asendada. Defektid võivad olla ohtlikud, kui need ei ole õigesti tuvastatud ja parandatud, näiteks tööstuslike seadmete või sõidukite puhul.;1;
defekt;Llama-4-Maverick-17B-128E-Instruct;mingi asja või objekti viga või puudus, mis võib olla seotud selle valmistamise, ehitamise või funktsioneerimisega ning mis võib takistada selle normaalset toimimist või halvendada selle kvaliteeti.;2;
defekt;Claude 3.5 Sonnet;puudus, viga või rike eseme, seadme või organismi normaalses seisundis või toimimises;4;
defekt;Gemini 2.5 Pro Preview;"viga, rike vm puudus; ebatäiuslikkus";2;ainult sünod
defekt;GPT-4o;puudus või viga, mis rikub terviklikkust, funktsionaalsust või välimust;4;
defekt;GPT-4.1;mingi eseme, seadme, organismi vms puudus, viga või kahjustus, mis takistab selle normaalset toimimist või vähendab väärtust;4;
filosofeerima;Claude 3.5 Sonnet;mõtisklema ja arutlema üldiste eluliste või abstraktsete küsimuste üle, sageli teoreetiliselt ja süvitsi minnes;4;
filosofeerima;Gmeini 2.0 Flash;mõtlema ja arutlema sügavate, üldiste küsimuste üle, eriti elu, teadmiste, moraali ja olemise kohta;4;
filosofeerima;o3;abstraktselt ja teoreetiliselt arutlema ning mõtisklema eluküsimuste, maailma olemuse jms üle;4;
huligaan;Claude 3.7 Sonnet;avalikus kohas teisi häiriv, ühiskondlikke norme eirav ja korda rikkuv isik, kes käitub jõhkralt, agressiivselt või lugupidamatult;3;
huligaan;Claude 3 Opus;ühiskondlikku korda rikkuv, teisi inimesi tülitav või neile kahju tekitav isik;4;
huligaan;Gemini 2.5 Pro Preview;avalikku korda rikkuv, teisi häiriv või vara lõhkuv isik;4;
huligaan;GPT-4o;isik, kes käitub avalikus kohas häirivalt, korda rikkudes või vägivaldselt, sageli teistele kahju tekitades või neid ohustades;4;
huligaan;o3;avalikus kohas üldtunnustatud käitumisnorme rikkuv ja lärmi, vandaalitsemist või vägivalda põhjustav korrarikkuja;3;
kasutajaskond;Claude 3.7 Sonnet;mingi toote, teenuse, süsteemi vms kasutajate kogum või rühm;3;
kasutajaskond;Claude 3 Opus;mingi toote, teenuse, süsteemi vms kasutajate ring;3;
kasutajaskond;GPT-4o;inimeste rühm, kes kasutab mingit teenust, toodet või süsteemi, moodustades selle tarbijaskonna või sihtrühma;2;
peoloom;GPT-4o;inimene, kes armastab sageli pidudel käia ja neis aktiivselt osaleda, pidutsemist nautiv isik;4;
